,comment
71,Путин живи ты сам в жестких условиях. Нам надоело! И кстати ты теперь и камеры боишься что броник под пальтом прячешь?
72,"Теперь я взял в привычку слушать обращения, ведь реально интересно, что он пообещает и какие обещания он выполнит (я чуть от смеха не умер, естественно он ничего не выполнит)"
73,С новым годом! Желаю всем удачи и исполнения желаний
74,"Обещал проиндексировать пенсии -выше инфляции!Соврал,как всегда!Веры нет,ни в чем,никогда..!"
75,Желаю россиянам выжить в новом году...У него смелости не хватило вам сказать
76,Даже в топ не вышло! Смешно!....... Обещаю обещать! В В путин!
77,"2000 - 2022 главное поднять благосостояние граждан, 22 года одно и тоже."
78,"С Новым Годом от Украины, братья Россияне."
79,- Песня та же... Пою я же...    Вцепился как клещ в президентское кресло...
80,"Спасибо, дорогой онуленец или обнуленыш, как правильней даже не знаю."
81,Нам еще лет 40 слушать его обращения.
82,Обокрал стариков и имеет наглость говорит о ценностях!
83,"Эх, Вова, Вова… в книжках истории тебя запомнят далеко не лучшими словами…"
84,"Как хорошо чувствуется ""народная любовь""..... уходи в отставку пока не поздно!!!!"
85,"По всей видимости, им на RT понятно, когда скрыли возможность видеть количество дизлайков."
86,"Правитель он обязан своими благочестивыми поступками показывать пример своим людям о которых он поставлен заботиться и оберегать. Если правитель не выполняет возложенную на него обязанность, такой правитель не может называться правителем. Когда подменяют понятия и вместо дхармы выдают адхарму)) за этим следует расплата.)"
87,Вот она любовь народная)))
88,"Экономику он восстановил😀. Ты хоть говори чью экономику? Экономику Китая ты восстановил, а Россия матушка в говне у нас, благодаря тебе. С праздником тебя Владимир Владимирович"
89,Мне понравилось как Путин оптимистично настроен на процветание людей. Мы этих людей примерно знаем)))
90,Пусть чаще рождаются дети говорит. Да в таких условиях мало кто обдуманно рожать хочет
91,Я один зашел комменты почитать?)))
92,Надеюсь все ответят в будущем за свои деяния!!!
93,"У меня есть традиция, каждый год 31 декабря перед 00:00 я захожу в ютуб  и лицезрею то насколько наш народ любит своих «избранников»😂"
94,"Специально ютуб дизы убрал что ли?, ради одного обращения Путина?)"
95,"какая-то безнадега и тлен от выступлений бункерного...спасибо, за инфляцию в 8.5%, за рост цен на стройматериалы на 100%, цены на автомобили улетели в космос, записаться к врачу специалисту - от двух недель до месяца....Ждем РЫВОК))))"
96,20 лет одно и тоже бояре богатеют - народ нищает. А этому все нипочем.
97,"Положительных комментариев ""0"" Терпим....Держимся....  Уже закрадываются подозрения, зачем убрали количество дизлайков!!! Думаю сдесь был бы достигнут максимум......"
98,"Жду лебединое озеро по всем каналам страны, а не вот это все ((("
99,"Спасибо за халупки в Москве по 20 млн, за немецкие машины за 5-10 млн, за бензин 50 руб+ и за оплату ЖКХ по 10 тыр за свет и отопление, и ,сука за доллар по 75 😠"
100,"Дуже гарно сказав-за душу бере.Володимир Володимирович,знай,що в Росії та в Україні живуть рідні та близькі,браття та сестри.Хай буде мир.Ми єдині."
101,Мира и добра ВСЕМ честным и порядочным  людям.
102,"Стабильность отрицательного роста, ничего нового, лишь бы набить свои карманы и ближнего круга. Ну ничего, настанет и на нашей улице праздник, бог то не Микеша, чем нибудь да и потешит. Ведь в истории ни один диктатор не закончил свою политику без порицания общества, бедная Россия ..."
103,Вот она народная любовь))))
104,С 1 января: рост стоимости услуг ЖКХ и кадастровой стоимости недвижимости.
105,"Волшебство у этого пересидента, новогоднее... В стране, где творит беспредел и беззаконие, нищета и бардак... Буээээ 🤮"
106,Вот она - народная поддержка в комментах
107,"Удобно😂 Когда дизлайки закрыли, а комментарии удаляют👍"
108,Первый новый год без телевизора и плеха. Надеюсь что так год и пройдёт.
109,"Такое ощущение, что у него бронежилет под плащом. Видно реально у деда крышняк поехал! Везде кажется заговор и иностранные агенты!"
110,"Ух, сколько народной любви в комментариях)"
111,"Такое ощущение, что он на 20 лет вперёд записал обращения и теперь на каждый новый год включается очередная запись"
112,"Жалко, дизы скрыли"
113,"Лучшее поздравление было бы - я устал, я ухожу."
114,"Дорогой дедушка Мороз! Очень прошу, сделай пожалуйста так, чтобы в этом году сожитель бабки Кабаихи одел белые тапочки и громко крякнул,,,,,,,, А мы бы увидели Лебединое озеро по ТВ"
115,"Влепил дизлайк. Смотреть не стал. Буду теперь писать, что поставил диз."
116,Мы рады что у вас все хорошо. А у нас не очень... Мы держимся....
117,А речь поменяется хоть раз?😂😂
118,"Хочу услышать ""Я устал, я ухожу """
119,Первый раз потер нос в конце и руку поднял
120,"Какую он промышленность он поднял интересно... Китая, США, но точно не нашу. Лес весь вывез, умные люди давно уехали из страны, чего ж дети ченуш то в России не живут раз тут так заебись. Тьфу на вас. Тошно смотреть одно и то же каждый год, уходите с миром, дайте народу пожить хорошо и в хорошей стране с достойной медициной, образованием, честным законом, и достойной жизнью."
121,Красная звезда на спасской башне - знак следующего этапа страны
122,Вор должен сидеть в тюрьме.
123,А че комменты то не скрыты? Совсем обленились)
124,"Дорогие граждане моей страны, дорогие не только вы но и все продукты и вещи, поэтому вам нужно немного подождать и тогда вы станете ещё беднее. Поздравляю моё правительство."
125,"Для истории он уже сложился и этого не изменит, даже если захочет."
126,Кто ему речи пишет? Наш человек!!! Столько пурги нести ни о чем! Ни слова конкретики и правды!
127,⚰️ Россия вымирает со скоростью 3 тысячи человек в день
128,Новый год 2022 без политических репрессий и полудурка
129,"Украинцам- братьям и сестрам, Здоровья, Благополучия, Мира."
130,Респект комментам (несмотря на RT)
131,"По-любому в бронике, либо набрал опыта."
132,С Новым годом всех!
133,"Спасибо дядя Вова за доллар по 75 рублей, надеемся на Вас что к лету рубль укрепится на отметке 99 рублей за доллар,,,,,, Если что продляйте пенсию до 70 лет !"
134,"Я смеюсь с ботоксного его поздравления на армянском тв,за которое он заплатил 240 миллиардов перебивает реклама Авито,во позор барыгам"
135,"Когда включат Лебединое Озеро,я скажут спасибо!"
136,"Кто за диз, ставь лайк"
137,"Стали мало показывать классики по ТВ. Хоть бы в этом году уже ""Лебединое озеро"" по центральному каналу показали."
138,"Вот это - наше зеркало, этого мы заслуживаем, так что не пеняйте на зеркало..."
139,Правительство работает хорошо.
140,"Поддержали старшее покалиния (оставляя умирать без помощи в больницах , в лучшем случае), и молодое поколение (сажая в тюрьма и таская по СИЗО)"
141,"Опять,, непростые времена и тяжёлые годы,, однако, в эти,, непростые времена,, себя, любимого не забыл и отгрохал себе дворец в Геленджике за 100 миллиардов. Прошу отнестись с пониманием!"
142,"Слушаю  без звука, Владимир владимирович пенсию вам 10 т и  опоачивать комуналку 5 т будьте здоровы если на лекарства зватит . Перед памятью отца не стыдно,?"
143,"Ну вот ещё один год придется выживать ,🤔"
144,По комментариям видно  народную любовь😁
145,"Желаем нам всем, чтоб с 2023 нас поздравлял другой президент."
146,"В следующем году: у наших границ инопланетяни - потерпите еще немного, лет 50 нищеты и вымирания (пока дворец на Луне не построит) !!!"
147,"Симоньян, комментарии хозяину своему покажи."
148,"И пусть на нас, хоть сколь угодно лают, - наш караван всегда идёт."
149,"Хочу увидеть обнуленыша в белых тапках!  Дедушка мороз, исполни пожалуйста моё желание хотя бы в этом году!"
150,"""Любимый"" народ пРезидент!😅"
151,"когда уже этот самый лучший президент станет, президентам МИРА чтоб всем так хорошо было как нам и нашей стране"
152,конечно же вы можете использовать этот комментарий как дизлайк )
153,"дизлайк, зашел комменты почитать, звук выключил чтобы из ушей кровь не пошла, сразу прокрутил страницу чтобы еще и не видеть его, а то ещё из глаз кровь пойдёт"
154,"Надеюсь, этот год  станет последним для данного субъекта и мы с почестями с ним простимся на Новодевичьем"
155,"Дело Бакунина, Кропоткина, Прудона живёт. Всех с 2022. За свободу! Равенство! Справедливость! Ну а этот персонаж............."
156,Всех с Новым Годом!!! 🥂🎉💥😊
157,"Я ждал заветные слова: я устал, я ухожу! Всё таки ты не мужик!"
158,Владимир владимирович с зарплатой 20000 .мрот 130000 пенсией 15000 и пенсионном возрастом 65 лет никаких перспектив на жизнь нету есть только перспектива выживания(((((((((
159,"смотрел выступления иных президентов. (в яхо надо, ибо -- неподвластен территориальным особенностям). Так вот, Президентов, как я понял, нигде не жалуют. "
160,"Вова, одно и тоже, твои вызовы с которыми ты борешься  20 лет и поминальные речи терпите-ждите.. "
161,"Я не понял, он в бронежилете, что-ли, стоит? Живот из под пальто торчит как у беременной."
162,Сразу видно истинную любовь верноподданных
163,С Новым годом всех ! Все будет хорошо
164,От себя просто скажу: используйте этот комментарий как дизлайк
165,"Войдёт в историю, как моль"
166,Столько лет врать и не краснеть - это талант! Вор с большой буквы.
167,Что рт бан получили 😂😂😂туда вам и дорога . Адекватных людей с новым годом
168,"Есть хороший канал,где его лицо  замазывают по просьбам трудящихся!😉"
169,"Ну что же вы за люди. Вам все обещают и обещают, а вам всё мало."
170,"Россия,с новым годом тебя!!!!!!!!!!!!Народ,с наступившим вас 2022!!!!!!Дай Бог нам всем выстоять это смутное время,когда политики пытаются сожрать друг друга не думая о своих народах!!!!Когда простой люд пытается выжить,а кучка говна в это время усиленно набивает свои карманы!!!!!!!!Давятся,но жрут!!!!!!!!!Дай нам Бог не быть озлобленными друг на друга из за этих нелюдей!!!!!!!Народ,с Новым годом!!!!!!Здоровья,сил и разума вам,дорогие сограждане!!!!!!!!!!Любви и мира в доме!!!!!!!И мира во всём мире!!!!!!!!!!"
171,Желаю всем вам встретить следующий 2023 год с другим президентом.
172,"Бункерному, проклятому  существу очень был бы к  лицу деревянный макинтош!"
173,"Интересно, а он сам понимает, как народ его ненавидит?"
174,"Владимир Владимирович, пока силуановых дерипасок и грефов  болтающимися на фонарях не явите ,сложно будет взаимопонимание поддерживать дальше"
175,"Вражеский интернет так не любит Россию, что даже не убрал коменты."
176,"С Новым Годом из Украины, давайте за МИР✌️"
177,"Когда же будет долгожданное ""Я устал, я ухожу"""
178,Желаю сатане вечно гореть в аду и никогда больше не возвращаться в мир живых!!
179,Всех с новым годом!
180,У пердунов уже крыша едет.
181,хотим лебединого озера..........
182,"Дизлайки не просто так скрыли. Вот она истинная народная ""любовь"", ""легитимность"" и ""признание""."
183,Пальто ели на пузике застегнулось))
184,"Самое лицемерное, что я слышал в 2021."
185,с новым годом! привет из украины ❤️
186,"Все отобрали у Путина : дворец и любовь народа. Купите парню пальто ,в это он не помещается. Сжальтесь."
187,"Ты когда накопительные счета пенсионеров разморозишь, а?"
188,Всех с новым годом!!! Всем счастья успехов здоровья!!! Благополучия!!! Добра!!! Ура ура ура!!! С 2022 годом
189,"Бодрова на этих олигархов не хватает ! ""Здорова Бандиты, БАХ, БАХ, БАХ..."""
190,"Зауважаю президента, если он честно на 17000 в месяц проживёт хотя бы 1/2 года."
191,"Поднимаем в топ, пусть народ выразит своё мнение"
192,Жаль количество дизов не показывает теперь
193,"Держу в курсе, 10 тысяч дизлайков. Народ высказал своё мнение уже давным-давно, однако власть не стремиться к будущему, а всё ворует и ворует"
194,"Квартиры и продукты подорожали в 2 раза, спасибо"
195,Да милосердия в России Вова пустой звук с каждым годом всё лучше и лучше. Здоровья медицина разрушина
196,"Ну как бы готовят понятно к чему. Если надо объяснять, то не надо объяснять)))"
197,Дай бог это его последний год
198,"Ждем Лебединое Озеро, вся Страна ждет, эта дата войдет, как красный день календаря."
199,"Эвакуация из России это единственный выход, особенно это касается молодежи..."
200,"Ну пожалуйста, Владимир Владимирович, ну имейте совесть. Вы и так забрали за эту жизнь достаточно. Пожалуйста, уйдите с поста."
201,Привет с Украины!!! Добра вам✊!!!!
202,"Почему дизлайки отключили?!... Я уверен их в Тысячу раз больше чем нарисованных здесь ""лайков""..."
203,"кто это ? узкие плечики, выпирающий живот.."
204,"А для сравнения стоит посмотреть поздравление Зеленского, это земля и небо по сравнению с этим."
205,"Владимир Путин, раньше ждала ваше новогоднее обращение, а сейчас нет, противно, блевать хочется от всего этого пустозвонства!"
206,Надеюсь в следующем году его рожу не увидим
207,Я ждал _ этот год был не простым
208,Для меня- это ХУДШИЙ руководитель страны за последние 100 лет! 
209,"Желаю тебе, Вова, выбирать между участью Хуссейна и Чаушеску."
210,"Я устал ,я ухожу .  Вова это простые слова ."
211,"Кол-во дизов в 3 раза больше. 30% поддерживают обращение, 70% - нет."
212,"Зашел, диз поставил, ушел) Даже в 12 ночи не смотрели обращение) Всех с наступившим, ребятки) Удачи, счастья, здоровья)"
213,"Посмотри что творит полиция ,пусть земля им не будет пухом!"
214,"Опять он нас кинул с индексацией пенсий , чтобы твои дети жили на социальные пенсии!!!!!! 5,9% это ни о чем при инфляции на продукты на 50%."
215,Время перенесет из прошлого в прошлое...Будущего пока не видать...
216,Комментарии 🔥🔥🔥 спасибо за искренность россияне
217,У ботов выходной.  Поздравляю граждан в комментах с Новым Годом! Россия будет свободной!
218,Мы не тока гордимся Москвой но и ее городами и нашей страной
219,"Загадал, чтобы этот год был для тебя ВВП последним!"
220,"Вылез из своего бункера и, как всегда, сколько раз открыл свой рот, столько же и соврал."
221,"Спасибо!! Ураа , новым годом!!!))))"
222,Ждал что скажет :я устал я ухожу 🔫
223,Зашел чисто коменты почитать .
224,"2, 7 тыс. лайков поставили кремлеботы."
225,Зашёл диз влепить! Всех с праздником 🙌👍
226,"...когда началось новогоднее обращение президента Россеи, наш парализованный  дед, двадцать лет сидевший в  коляске,  встал, взял телевизор и выкинул его в окно...:-)))"
227,С новым годом🇷🇺
228,"Восстановили экономику?? Поддержали население??? В период самоизоляции все, кроме госслужащих, за свой счёт отдыхали..... Это о какой России Владимир Владимирович говорит?"
229,"Ни одного негативного отзыва, интересно!"
230,"Мы вместе, и даже известно в каком."
231,Путя в бронике
232,Он под курткой руки держит... Это пипец господа. Хорошо что не на корточах поздравил
233,"путину дать почитать эти комментарии. Удивляюсь, почему их не отключили? симонян за это прилетит, или это так задумано? Интересно."
234,"посмотрите видос на перемотке, столько гримас забавных,но будьте аккуратны,у меня видос случайно пошел, усышал слово ""наши"", а так зашел коменты почитать,заметил тенденцию, не зависимо от количества просмотров еще на паре роликов обращения, количество лайков примерно одинаково"
235,Вурдалак зачетный!
236,"30 ЛЕТ нет ссср. где те, кто успел выйти, а где вы?"
237,Желаю вам ВСЕМ окочуриться в этом году !!!
238,"Красавчик ✌️, а коменты злобные пишут боты-завистники"
239,"Народ тебя ненавидит, как можно быть таким лицимером."
240,"Пусть у тебя Володя будет такая же жизнь, как у самого бедного человека в России, который стал таким по твоей вине."
241,"А ведь дед то стареет, видать не долго ему осталось)"
242,"Я плюну в морду тому кто скажет, "
243,"Сначала подумал, что у него там бронежилет."
244,Очередная тонна вранья и лецимерия😂
245,С Новым годом 🍾🎄🎆
246,"Главное, что все твои друзья у кормушки и у них все хорошо... Ненавижу врунов"
247,"Надеюсь этот год будет последним для тебя как президента,и первым в виде подсудимого Гаагского трибунала.."
248,"Пусть в следующем году наконец уйдёт всё, что так не хочет уходить: коронавирус, экономические трудности - вот эти три вещи."
249,"Ждите, скоро за негативные комменты будут сажать, интернет отключён и блокированы все неугодные)😁"
250,Не кому не нужно это поздравления от ненужного человека
251,"Почему я себя чувствую каким то ...,будто бы....,хотелось бы!!!🎅"
252,Жаль убрали дизы
253,С новым годом дорогие братья Россияне и чтобы ваша главная мечта сбылась 🇺🇦🤝🇷🇺
254,"Владимир Владимирович, сердечная благодарность за душевные слова!"
255,"Морду отожрал, в камеру скоро не влезает уже... Да уж, процветание идет 22 года, лишь у узкой, грязной прослойки твоих дружков..."
256,Лучше бы «Лебединое озеро» включили
257,У меня в доме свет отключили когда он говорить начал)
258,"Воровство,ложь, деградация"
259,"А кароночка была? Про то что год был не простым, а то до конца ждал. Наверное прослушал."
260,"Это был непростой,трудный год."
261,"Мы бы хотели услышать --- Я устал, Я мухажук,,,,,,,"
262,Жду в этом году дыхание Чейна-Стокса
263,ВЛАДИМИР ВЛАДИМИРОВИЧ ЧЕЛОВЕК-СЛОВО! КАК И УВАЖАЕМАЯ МАРГАРИТА СИМОНЬЯН!!! УВАЖАЕМ ВАС ВСЕЙ СТРАНОЙ!!!
264,МРОТ 13890 рублей. В Украине выше  ахахахаха
265,Стандартный сценарий.
266,Боритесь за свои права! Свобода и демократия победит!
267,Лапша и макарошки без вилки все для нас и ваших ушей ...НАДОЕЛО
268,"Народ голосовал за поправки, которые включали в себя предусмотрение наказания за жестокое обращение с животными...НИ ХРЕНА ЭТО НЕ СОБЛЮДАЕТСЯ!!! Когда обязуют нести ответственность за животных?"
269,Путин это один большой мем России
270,Где то я уже это видел ...
271,"За 20 лет Китай из отсталой деревни стал мировым лидером в политике и экономике,  наверно эту страну имел ввиду ВВ Путин во всех своих бесконечных обещаниях! С Новым годом соотечественники, желаю нам всем поумнеть!"
272,"Бобра съел? Смотрю на этого клоуна в черном плаще, такое чувство что он на похорон пришел. Привет с Ростова"
273,"Когда же мы освободимся от зла, засевшего в Кремле? ! Выражаю недоверие путину и тошнит от него  и его поздравлений."
274,Господин Президент “
275,"Что под пальто? Сперва было впечатление, что там спрятаны руки,,,,, Дед Кабай залетел что ли ???"
276,Dearest V.Putin Darling!
277,2045 год Биоробот Путин: я подниму Россию с колен…
278,Не слушала речь и не буду. Захожу только дизлайк поставить
279,"Тоже думал, что пуговица на пузе в экран стрельнит?"
280,На вампира похож)))
281,"Читаю комментарии,не одного доброго слова в адрес президента. Как же ед.ро.побеждает на выборах? И ведь в 24 году тоже его изберут, правда кто будет избирать неизвестно,но все равно избирут."
282,Народная любовь  чувствуется по комментариям
283,Жалкий и смешной старик!
284,Жалкий разговор не о чем.
285,"Из глубин космоса, с другой планеты...."
286,жаль что дизы отключены... я бы посмотрел...
287,Как ты смеешь стоять там где должен стоять патриот народа?! Просто спам сети
