,comment
83,"Как всегда, то что доктор прописал! Спасибо, Екатерина Михайловна, здоровья Вам и Вашим близким!"
84,"Обращение президента здорового человека) Спасибо за вашу деятельность, с Новым, 2022 годом!"
85,"Спасибо, Екатерина Михайловна! Вы - мой Президент! С Новым годом!"
86,"С Новым годам вас, надеюсь в следующем году Екатерины будет ещё больше"
87,"Екатерина Михайловна! Большая просьба - в новогоднюю ночь запускайте трансляцию, где бы каждый час звучали эти замечательные слова, а затем бой курантов. Хочется встретить новый год с такой речью."
88,"Музыка такая позитивная! Спасибо, уважаемая и прекрасная Екатерина Михайловна! С новым годом Вас и всех, кто помогает и поддерживает Вас в нелегком труде просвещения!"
89,Какое счастье видеть поздравление Екатерины Шульман! Настроение поднялось! С новым годом! Перемен требуют наши сердца!
90,"Екатерина Михайловна, с Новым годом! Здоровья, любви и удачи!!!!!"
91,"Слава богу,  для меня не стоит вопрос ""кто, если не путин?"" "
92,"Спасибо, Екатерина Михайловна, с Новым Годом!"
93,"С Новым годом, Екатерина Михайловна! Спасибо за вашу поддержку и за толику здравого смысла в нашем мире."
94,"Желаю в новом году, чтобы родители по телевизору вот такие вот обращения смотрели!"
95,Такое прекрасное  НГ поздравление!!!!))
96,"Большое спасибо! Важное, умное и сердечное обращение. С теплотой и настойчивой верой в человека) Спасибо за это! Всех с Новым годом!"
97,Новогоднее обращение здорового человека
98,"Новогоднее обращение, которое мы заслужили"
99,"спасибо вам огромное, уважаемая Екатерина Михайловна! голос разума и здравого смысла - так важно, что вы есть. Надеемся и дальше быть с вами вместе."
100,Приятно смотреть на Вас...    слушать и думать.....    Спасибо!!!!
101,"Спасибо большое, Екатерина Михайловна, за поздравления! Вас и Ваших близких с Новым годом! Пусть все загаданное сбудется и все будут здоровы, счастливы и успешны "
102,"Екатерина, спасибо! И Вас так же с Наступившим! Просто делаем своё дело и остаёмся людьми!"
103,Нда..... а что если объявить тендер на лучшее новогоднее поздравление в стране? А?
104,"Спасибо Вам, Екатерина Михайловна! Надеемся, в наступившем году Вы не устаните ""хлопать крыльями"" для нас и тех кого еще не накрыл ливень просветительства Вашего канала :) Сейчас это очень важно для России, может даже важнее потенциального научного вклада. Ждем Вас на Вашем канале в новом году!"
105,"Спасибо Екатерина Михайловна - в самое сердце слова, в самую суть! И вас С Наступившим!"
106,"Благодарю Вас, Екатерина Михайловна! Как это глубоко и точно сказано. Мира и Любви всем желаю."
107,"Большое спасибо, Екатерина  Михайловна, за эти вдохновляющиие и обнадеживаюшие слова! Так победим!"
108,"Поздравление, которое мы заслужили. Спасибо! Будьте аккуратны!"
109,"Спасибо и всем стоически преодолевать все, что должно! ️"
110,"Спасибо, Екатерина Михайловна! Всех с Новым Годом!!!"
111,"Спасибо за прекрасные, вдохновляющие слова, Екатерина Михайловна!"
112,Спасибо большое Екатерина Михайловна!Прекрасное поздравление и как же приятно Вас слушать!С наступающим Вас тоже!
113,Согласна с предыдущим комментатором - это лучшее поздравление в новом году!!! Спасибо огромное! ️
114,"Всегда интересно узнать что-то новое, ну или пока ещё"
115,"Дорогая Екатерина! С Новым годом Вас! Спасибо  вам за доброе сердце и любовь к Родине,  которой вы не кичитесь. Многая лета! Спасибо Вам за этот год. Благодаря вашему подкасту в этом году многие из нас поумнели и стали лучше. Горжусь, что я ваша ровесница. Мы все- таки хорошее поколение, раз среди нас есть такие люди как Вы.С Новым годом!"
116,"Как замечательно, что Вы у нас есть! От всей души поздравляю Вас с Новым годом!"
117,"Спасибо, Екатерина, вам и он наступил - 2022! Поздравляю всех нас выживших и настойчивых, здоровья, изобилия и удачи в новом году!"
118,Как приятно видеть именно ВАС на фоне этой картинки)) С новым годом!
119,"Благодарю! Спасибо Вам, за Вашу деятельность и само существование. Будьте здоровы и счастливы!"
120,"С новым годом вас, прекрасная Екатерина Михайловна!"
121,"Спасибо Вам большое ,встречал НГ под ваше выступление"
122,"Ум, честь и совесть! "
123,"Супер поздравление!!!Спасибо, Екатерина Михайловна! С Новым годом!!!!"
124,"С Новым годом, Екатерина Михайловна! Спасибо вам за всё"
125,"Спасибо,очень приятно получать поздравления от приятного тебе человека.и спасибо интернету за возможность выбора ))Всех поздравляю с наступившим новым годом! Желаю здоровья и удачи !"
126,"Екатерина Михайловна, спасибо! Посмотрели с дочкой (8 лет) ваше поздравление. Дочка передаёт, что вы лучшая ! А я ее поддерживаю. :)"
127,"Спасибо, уважаемая, обожаемая, восхитительная Екатерина Михайловна! "
128,"Спасибо, это прекрасное обращение. Слушала и получала удовольствие))."
129,"Спасибо за всё, что вы делаете, уважаемые Екатерина и Михаил! Без помощи и взаимодействия директора канала ничего не было бы. Ценим и уважаем!"
130,"Екатерина Михайловна, с Новым годом! Спасибо, что Вы есть!"
131,"Екатерина Михайловна, спасибо огромное! Вас так приятно слушать и смотреть ! С Праздником Друзья! С Новым 2022 годом!!"
132,Надеюсь в скором времени увижу новогоднее поздравление Екатерины по всем каналам. Все с наступающим
133,"Чёрт побери, Клавиатура двоится, но напишу Вам с 27 раза: Ваше поздравление вдохновляет меня!"
134,Любимый позитивчик! Спасибо. Улыбаюсь и слушаю очень внимательно всегда. Здоровья вам и вашим близким. Все будет хорошо. Обнимаю. Бабушка Оля.
135,"С  Новым годом Вас, Екатерина Михайловна! Поздравляю Вас с Новым годом. Успехов Вам,здоровья и  спасибо за надежду....️"
136,"Делай, что должен, и будь, что будет! (с)"
137,"Екатерина Михайловна, снимаю шляпу! Спасибо и с Новым Годом!"
138,"Это лучшее поздравление, которое, я готова слушать каждый год!"
139,Новогоднее обращение здорового человека!)
140,"Екатерина Михайловна, спасибо за вдохновение️ и Вас с наступающим "
141,"Хорошая речь и видеть приятно, спасибо."
142,Как тонко и остроумно! Спасибо. Речь великолепно отражает современность! Очень талантливо!
143,"Как жаль, что я не слышала Вашего поздравления."
144,"Екатерина Михайловна, спасибо за все, что вы делаете, и огромная благодарность за идеи и мысли, что вы нам транслируете. Будьте здоровы!"
145,"Спасибо! Счастья Вам, здоровья! Спасибо, что я познакомился с Вами, пусть и виртуально!!!"
146,"С Наступающим, Екатерина Михайловна! Люблю вас всей душой! ️"
147,"Спасибо за поздравление!Как приятно слушать умную,лёгкую речь.С удовольствием слушаю и смотрю Ваш канал Жду новых выпусков в новом году  .Здоровья и удачи нам всем в Новом году! Живе!"
148,Обращение которое мы заслужили ️
149,Прошедший год был трудным - как каждый год повторяет наш несменяемый.. Уж будьте уверены - наступивший год они постараются сделать ещё труднее...
150,"Спасибо, Екатерина Михайловна. Ваши слова и пожелания оказались тем, что мне надо было услышать. В этом году на меня надвигаются обязанности и ответственность от которых мне не отказаться, но принять их тревожно. Разрушенный институт - это наша медицинская служба и мне предстоит принять преходящее знамя ответственности и беспокойства. Я не лучший кандидат, но других нет, а моя рабочая ниша уничтожена. Ваши слова помогли мне успокоиться и разглядеть путь, которым предстоит пройти."
151,"С новым годом, спасибо за ваш труд!"
152,"Екатерина Михайловна, спасибо вам большое за это обращение и за ваши лекции, за ваши стримы и передачи, за ваши посты и комментарии!"
153,Хочу когда-нибудь в будущем увидеть эту женщину на главных каналах страны перед боем курантов в новогоднюю ночь 
154,"С Новым годом, уважаемая Екатерина Михайловна! Спасибо за Вашу деятельность, всего наилучшего!"
155,НЕ ОТСТУПАЙТЕ!
156,"Екатерина Михайловна, спасибо вам за труд и за все, что вы делаете, вместе мы сила, с Новым годом!! "
157,Спасибо большое)) очень обнадёживает! Вам и  Вашей семье благополучия!))
158,"С Новым годом, Екатерина Михайловна и ее помощники за кадром! Большое спасибо за вашу работу в прошедшем году, это было очень интересно и познавательно. "
159,"Спасибо, Екатерина! С новым годом вас! Желаем вам и нам выстоять!"
160,"Благодарю, Екатерина Михайловна. Екатеринбургу будет что перед курантами послушать. С наступающим вас и вашу семью! Всех благ"
161,"Лучшее новогоднее поздравление ever!! Спасибо, Екатерина Михайловна! Всего Вам и Вашей семье самого-самого лучшего! Прекрасные слова, мудрые, честные и невероятно полезные! Спасибо! Лучшего пожелания быть не может."
162,"Спасибо, я плакала!  С новым годом!"
163,"Спасибо!!! Взаимно!!!  Очень тонко, красиво и дипломатично, впрочем как всегда."
164,Спасибо огромное за поздравление! И вас с наступающими праздниками 
165,"С Новым годом! Екатерина, спасибо за ваши труды!"
166,"С наступающим Новым 2022-м Годом, Екатерина Михайловна и дорогих подписчиков канала пусть следующий год будет лучше чем этот!"
167,"Спасибо,  Катя! И вам всего светлого и   чистого! И будущих  побед на всех виртуальных полях битв!"
168,Очень своевременно!) Спасибо большущее! С Новым годом! 
169,Дорогая Екатерина Михайловна!
170,"Оооо, прекрасное обращение! Спасибо, Екатерина Михайловна! И, смешно, у меня даже есть старая футболка именно с этим прекрасным девизом: Perseverance!!! Правда смысл там юмористический: на картинке нарисован Гомер Симпсон, сладко спящий на фоне брошенных орудий садового труда. И мелкими буквами: If something is hard it’s not worth doing)))) Но какое совпадение! С Новым Годом!!!!"
171,Обожаю эту традицию!! Спасибо большое)
172,"как всегда шикарно! За такими как Вы, надежда на будущее нашей страны!"
173,"Спасибо, Екатерина! И правда отдушина в этом тёмном обществе."
174,"Екатерина Михайловна. Надеюсь увидеть Ваше новогоднее поздравление с экранов наших телевизоров. Можно даже в ""пальте"""
175,"Спасибо за этот год. От всего сердца поздравляю Вас с новым годом! Здоровья, счастья и всего наилучшего, что есть на свете!"
176,"С Новым годом! Главный посыл для нашей страны чем ""Чем дольше вы нечего не делаете тем ниже шанс что это получиться хаорошо"""
177,"Екатерина Михайловна, с Новым годом Вас  спасибо за труд :)"
178,"Формат - огонь   Екатерина Михайловна, с Наступающим Новым годом Вас, будте здоровы!"
179,"Здоровья Вам и вашей семье, спасибо, Екатерина Михайловна,всех с новым годом!!!"
180,Мой Президент прекрасной России будущего!!! Любимая Екатерина Михайловна!!! С Новым годом!!!
181,"Екатерина Михайловна, спасибо Вам за ваш труд! Пускай у Вас все получается! Очень приятно Вас слушать и видеть!"
182,"Екатерина, спасибо за образцовое обращение! "
183,"Поздравляю каждого с наступившим новым годом. Будьте счастливы, любимы, востребованы. Здоровья всем, любви и капельку чуда"
184,"Спасибо, Екатерина Михайловна,  "" устойчивость  в достижении цели"" - это то, что нужно сейчас. С Новым годом!"
185,Вашу Семью и Вас с Новым годом!! Спасибо за просвещение!!
186,"Это обращение я согласна слушать каждый год!  И картинка приятная, и мысли умные)) Екатерина Михайловна, с Новым Годом!"
187,"Спасибо Вам, Екатерина. Дай Аллах (Господь) Всевышний нам всем стойкости в добрых делах."
188,"Спасибо! Какой оптимизм ! Очень понравилось. И музыка отличная и слова, как песня.  Так будем же делать, что должно, и да будет нам Счастье !"
189,Спасибо за прекрасное поздравление !!!
190,"Будем делать, что должны! Спасибо, всех благ!"
191,Спасибо и взаимное поздравление!!! Отличные слова! 
192,"Екатерина Михайловна, с наступающим Вас! Спасибо Вам за Вашу работу! Вкуса и нюха Вам и Вашим подписчикам!"
193,Спасибо! Огромное!
194,Спасибо большое за прекрасное поздравление и такие важные слова ️
195,"Спасибо, Екатерина Михайловна!"
196,"Вчера, 31 декабря, похоронили подругу, она умерла от короноаируса. Мы все дожили, а она - нет. А она подарки к Новому году детям готовила... Здоровья всем любимым людям"
197,"С Новым годом! Спасибо за тёплые слова, Екатерина Михайловна)"
198,С Наступающим! Всего самого наилучшего!!!
199,"Как всегда, именно те слова, которые хочется услышать и те, что нужно услышать. Спасибо, Екатерина Михайловна!"
200,"Обращение, вселяющее оптимизм!"
201,Огромное Спасибо за Форму и Содержание! :)))
202,"Очень хотели послушать Екатерину Михайловну перед курантами, но наш часовой пояс далек от Москвы) Пришлось довольствоваться рождественской рьчью королевы Елизаветы II  Кстати, оказалась на удивление приятная речь"
203,Спасибо. Это лучшее поздравление.
204,"Спасибо, Екатерина Михайловна. Вас тоже с настойчивостью и Новым годом!"
205,"Как же приятно смотреть обращение действительно умного и приятного человека, а не поехавшего деда."
206,"спасибо вам большое, Екатерина Михайловна, что заботитесь о регионах и выкладываете видео пораньше! всем процветания и просвещения"
207,"Екатерина Михайловна, с новым годом!!! Спасибо за Ваш труд! Здоровья нам всем!!! "
208,Замечательные слова ️ с Новым годом!
209,Это потрясающе! Спасибо! Так по-настоящему и вдохновляюще!
210,"Спасибо за обращение, рад что наши мысли совпадают."
211,Пусть всегда будет Шульман!
212,"С новым годом,  Екатерина Михайловна!"
213,"Да, согласна с Екатериной Михайловной, у многих за столами был новогодний тост: ""за то, что дожили!"""
214,Спасибо за вдохновляющие слова!
215,Спасибо за поздравления! Всех с Новым годом!
216,"Спасибо, Екатерина! Всех благ!"
217,"Спасибо, Екатерина Михайловна!!! Как всегда в тему!!!"
218,"Спасибо большое, Екатерина Михайловна! Не знаю, как бы мы пережили этот год без вашей работы, устойчивости и настойчивости. Люблю вас всей душой. Здоровья вам, сил, любви и радости всегда!"
219,Наконец-то человеческое обращение. Спасибо огромное ️
220,Желаю всем оставаться лапочками в новом году <3
221,"Вот какие Слова, какой Смысл должен быть у первого лица, Первого среди Равных! С Новым годом, дорогая Екатерина Михайловна! С ещё большей настойчивостью будем Жить! Огромное спасибо! Это заряд на весь предстоящий год!"
222,Очень здорово сказано! Каждое слово и фраза верны. Спасибо Вам! С Новым Годом!
223,Спасибо за такое поздравление!
224,"С новым годом Вас, Екатерина! Всех благ!"
225,"Спасибо, Екатерина Михайловна,  дорогая. Считаю Вас Президентом здорового человека. Пусть в наступившем году у Вас всё будет, хотя бы, не хуже, чем в ушедшем."
226,Спасибо Вам за ваш бесценный труд. С новым годом! Да не иссякнет ваша чаша  трудолюбия.
227,"И Вам всего самого доброго и хорошего, Екатерина Михайловна, моё почтение! Вы неподражаемы и любимы. Ценимы и восхетительны. Здравствуйте всегда!"
228,Каждое слово вдохновляет и даёт настрой.Спасибо
229,"Класс, встречаю новый год под приятное обращение! И в нём меня хвалят за самое сложное, что мне пришлось сделать - выжить и не отступать. Спасибо! ★ "
230,"Спасибо за поздравление, с новым годом)"
231,"Даже со снежинками  Уважаемая Екатерина Михайловна, с Новым годом вас.Будте счастливы и здоровы .Мы вас очень любим ."
232,"Огромное  спасибо за Ваше терпение, справедливость, Просвещение , тонкий юмор и иронию. С наступающим Новым годом Вас и всех слушателей."
233,"Новогоднее обращение здорового человека. Спасибо, Екатерина Михайловна."
234,"С Новым годом, дорогая Екатерина! Оставайтесь с нами и в этом, и в последующие годы! С вами мир становится светлее! Здоровья и счастья вам!!!"
235,"Огромное спасибо за пожелания, Екатерина Михайловна. Удачи Вам в Вашей нелегкой деятельности!"
236,"Екатерина Михайловна! С наступившим Вас, это обращение лучше и в миллионы раз более вдохновляющее чем то, которые крутят по телевизору "
